LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,LEC,16,Ferrari,2.0,0 days 00:01:28.179000,False,,0 days 00:00:29.989000,0 days 00:00:28.398000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
2.0,LEC,16,Ferrari,2.0,0 days 00:01:25.396000,True,0 days 00:00:27.707000,0 days 00:00:29.265000,0 days 00:00:28.424000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
3.0,LEC,16,Ferrari,2.0,0 days 00:01:25.179000,True,0 days 00:00:27.679000,0 days 00:00:29.001000,0 days 00:00:28.499000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
4.0,LEC,16,Ferrari,2.0,0 days 00:01:24.810000,True,0 days 00:00:27.653000,0 days 00:00:28.883000,0 days 00:00:28.274000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
5.0,LEC,16,Ferrari,2.0,0 days 00:01:24.603000,True,0 days 00:00:27.630000,0 days 00:00:28.790000,0 days 00:00:28.183000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
6.0,LEC,16,Ferrari,2.0,0 days 00:01:24.663000,False,0 days 00:00:27.596000,0 days 00:00:28.945000,0 days 00:00:28.122000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
7.0,LEC,16,Ferrari,2.0,0 days 00:01:24.434000,True,0 days 00:00:27.645000,0 days 00:00:28.701000,0 days 00:00:28.088000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
8.0,LEC,16,Ferrari,2.0,0 days 00:01:24.569000,False,0 days 00:00:27.557000,0 days 00:00:28.771000,0 days 00:00:28.241000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
9.0,LEC,16,Ferrari,2.0,0 days 00:01:24.362000,True,0 days 00:00:27.542000,0 days 00:00:28.781000,0 days 00:00:28.039000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
10.0,LEC,16,Ferrari,2.0,0 days 00:01:24.432000,False,0 days 00:00:27.515000,0 days 00:00:28.840000,0 days 00:00:28.077000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
11.0,LEC,16,Ferrari,2.0,0 days 00:01:24.846000,False,0 days 00:00:27.633000,0 days 00:00:28.951000,0 days 00:00:28.262000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
12.0,LEC,16,Ferrari,2.0,0 days 00:01:24.916000,False,0 days 00:00:27.680000,0 days 00:00:28.971000,0 days 00:00:28.265000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
13.0,LEC,16,Ferrari,2.0,0 days 00:01:25.529000,False,0 days 00:00:27.812000,0 days 00:00:29.177000,0 days 00:00:28.540000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
14.0,LEC,16,Ferrari,2.0,0 days 00:01:25.606000,False,0 days 00:00:27.839000,0 days 00:00:29.217000,0 days 00:00:28.550000,MEDIUM,,,,1.0,4.0,Finished,2024,GP Monza,historica
15.0,LEC,16,Ferrari,3.0,0 days 00:01:30.192000,False,0 days 00:00:28.034000,0 days 00:00:29.361000,0 days 00:00:32.797000,MEDIUM,0 days 01:17:08.772000,0 days 01:17:33.191000,0 days 00:00:24.419000,1.0,4.0,Finished,2024,GP Monza,historica
16.0,LEC,16,Ferrari,7.0,0 days 00:01:44.888000,False,0 days 00:00:47.985000,0 days 00:00:28.750000,0 days 00:00:28.153000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
17.0,LEC,16,Ferrari,6.0,0 days 00:01:24.270000,True,0 days 00:00:27.458000,0 days 00:00:28.730000,0 days 00:00:28.082000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
18.0,LEC,16,Ferrari,6.0,0 days 00:01:23.875000,True,0 days 00:00:27.408000,0 days 00:00:28.571000,0 days 00:00:27.896000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
19.0,LEC,16,Ferrari,6.0,0 days 00:01:24.203000,False,0 days 00:00:27.354000,0 days 00:00:28.722000,0 days 00:00:28.127000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
20.0,LEC,16,Ferrari,5.0,0 days 00:01:23.826000,True,0 days 00:00:27.483000,0 days 00:00:28.623000,0 days 00:00:27.720000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
21.0,LEC,16,Ferrari,5.0,0 days 00:01:23.880000,False,0 days 00:00:27.423000,0 days 00:00:28.725000,0 days 00:00:27.732000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
22.0,LEC,16,Ferrari,5.0,0 days 00:01:23.768000,True,0 days 00:00:27.358000,0 days 00:00:28.484000,0 days 00:00:27.926000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
23.0,LEC,16,Ferrari,3.0,0 days 00:01:23.864000,False,0 days 00:00:27.438000,0 days 00:00:28.501000,0 days 00:00:27.925000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
24.0,LEC,16,Ferrari,3.0,0 days 00:01:23.640000,True,0 days 00:00:27.347000,0 days 00:00:28.551000,0 days 00:00:27.742000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
25.0,LEC,16,Ferrari,3.0,0 days 00:01:23.590000,True,0 days 00:00:27.380000,0 days 00:00:28.445000,0 days 00:00:27.765000,HARD,,,,1.0,4.0,Finished,2024,GP Monza,historica
