LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,GAS,10,AlphaTauri,11.0,0 days 00:01:59.301000,False,,0 days 00:00:53.392000,0 days 00:00:29.654000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
2.0,GAS,10,AlphaTauri,9.0,0 days 00:01:52.409000,True,0 days 00:00:31.997000,0 days 00:00:50.699000,0 days 00:00:29.713000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
3.0,GAS,10,AlphaTauri,8.0,0 days 00:01:51.368000,True,0 days 00:00:30.935000,0 days 00:00:50.680000,0 days 00:00:29.753000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
4.0,GAS,10,AlphaTauri,8.0,0 days 00:01:51.903000,False,0 days 00:00:31.226000,0 days 00:00:50.977000,0 days 00:00:29.700000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
5.0,GAS,10,AlphaTauri,8.0,0 days 00:01:51.803000,False,0 days 00:00:31.110000,0 days 00:00:50.726000,0 days 00:00:29.967000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
6.0,GAS,10,AlphaTauri,8.0,0 days 00:01:51.629000,False,0 days 00:00:31.221000,0 days 00:00:50.652000,0 days 00:00:29.756000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
7.0,GAS,10,AlphaTauri,8.0,0 days 00:01:51.773000,False,0 days 00:00:31.214000,0 days 00:00:50.766000,0 days 00:00:29.793000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
8.0,GAS,10,AlphaTauri,8.0,0 days 00:01:51.915000,False,0 days 00:00:30.924000,0 days 00:00:51.182000,0 days 00:00:29.809000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
9.0,GAS,10,AlphaTauri,8.0,0 days 00:01:51.679000,False,0 days 00:00:31.283000,0 days 00:00:50.607000,0 days 00:00:29.789000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
10.0,GAS,10,AlphaTauri,8.0,0 days 00:01:52.989000,False,0 days 00:00:31.709000,0 days 00:00:50.035000,0 days 00:00:31.245000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
11.0,GAS,10,AlphaTauri,7.0,,False,0 days 00:00:49.969000,0 days 00:01:06.284000,0 days 00:00:35.178000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
12.0,GAS,10,AlphaTauri,4.0,,False,0 days 00:00:43.694000,0 days 00:01:20.797000,0 days 00:00:46.024000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
13.0,GAS,10,AlphaTauri,4.0,,False,0 days 00:00:44.690000,0 days 00:01:24.637000,0 days 00:00:49.689000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
14.0,GAS,10,AlphaTauri,4.0,,False,0 days 00:00:45.680000,0 days 00:01:11.383000,0 days 00:00:46.561000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
15.0,GAS,10,AlphaTauri,4.0,0 days 00:01:51.631000,False,0 days 00:00:31.121000,0 days 00:00:50.812000,0 days 00:00:29.698000,HARD,,,,8.0,12.0,Finished,2020,GP Belgica,historica
