LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,HAM,44,Mercedes,6.0,0 days 00:01:23.099000,False,,0 days 00:00:40.850000,0 days 00:00:16.994000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
2.0,HAM,44,Mercedes,6.0,0 days 00:01:15.675000,True,0 days 00:00:19.127000,0 days 00:00:39.451000,0 days 00:00:17.097000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
3.0,HAM,44,Mercedes,4.0,0 days 00:01:14.254000,True,0 days 00:00:18.781000,0 days 00:00:38.688000,0 days 00:00:16.785000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
4.0,HAM,44,Mercedes,4.0,0 days 00:01:14.307000,False,0 days 00:00:18.913000,0 days 00:00:38.321000,0 days 00:00:17.073000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
5.0,HAM,44,Mercedes,3.0,0 days 00:01:14.172000,True,0 days 00:00:19.046000,0 days 00:00:38.191000,0 days 00:00:16.935000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
6.0,HAM,44,Mercedes,3.0,0 days 00:01:27.601000,False,0 days 00:00:19.163000,0 days 00:00:49.061000,0 days 00:00:19.377000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
7.0,HAM,44,Mercedes,3.0,0 days 00:01:59.617000,False,0 days 00:00:25.212000,0 days 00:00:59.672000,0 days 00:00:34.733000,MEDIUM,0 days 01:11:37.672000,0 days 01:11:57.067000,0 days 00:00:19.395000,1.0,10.0,Finished,2021,GP São Paulo,historica
8.0,HAM,44,Mercedes,3.0,0 days 00:02:11.737000,False,0 days 00:00:39.007000,0 days 00:00:59.808000,0 days 00:00:32.922000,MEDIUM,0 days 01:13:49.545000,0 days 01:14:08.533000,0 days 00:00:18.988000,1.0,10.0,Finished,2021,GP São Paulo,historica
9.0,HAM,44,Mercedes,3.0,0 days 00:02:27.627000,False,0 days 00:00:44.815000,0 days 00:01:03.122000,0 days 00:00:39.690000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
10.0,HAM,44,Mercedes,3.0,0 days 00:01:15.980000,False,0 days 00:00:20.405000,0 days 00:00:38.642000,0 days 00:00:16.933000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
11.0,HAM,44,Mercedes,3.0,0 days 00:01:14.607000,False,0 days 00:00:19.201000,0 days 00:00:38.516000,0 days 00:00:16.890000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
12.0,HAM,44,Mercedes,3.0,0 days 00:01:34.983000,False,0 days 00:00:19.198000,0 days 00:00:52.371000,0 days 00:00:23.414000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
13.0,HAM,44,Mercedes,3.0,0 days 00:01:39.738000,False,0 days 00:00:26.904000,0 days 00:00:49.473000,0 days 00:00:23.361000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
14.0,HAM,44,Mercedes,3.0,0 days 00:01:24.357000,False,0 days 00:00:25.976000,0 days 00:00:41.559000,0 days 00:00:16.822000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
15.0,HAM,44,Mercedes,3.0,0 days 00:01:14.337000,False,0 days 00:00:19.019000,0 days 00:00:38.464000,0 days 00:00:16.854000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
16.0,HAM,44,Mercedes,3.0,0 days 00:01:14.534000,False,0 days 00:00:19.015000,0 days 00:00:38.649000,0 days 00:00:16.870000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
17.0,HAM,44,Mercedes,3.0,0 days 00:01:14.747000,False,0 days 00:00:18.972000,0 days 00:00:38.864000,0 days 00:00:16.911000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
18.0,HAM,44,Mercedes,3.0,0 days 00:01:15.716000,False,0 days 00:00:19.235000,0 days 00:00:39.503000,0 days 00:00:16.978000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
19.0,HAM,44,Mercedes,2.0,0 days 00:01:14.300000,False,0 days 00:00:18.761000,0 days 00:00:38.458000,0 days 00:00:17.081000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
20.0,HAM,44,Mercedes,2.0,0 days 00:01:14.424000,False,0 days 00:00:18.942000,0 days 00:00:38.314000,0 days 00:00:17.168000,MEDIUM,,,,1.0,10.0,Finished,2021,GP São Paulo,historica
